Order Date,Region,Category,Sub-Category,Sales,Quantity,Profit,Customer Name,Order ID,Product ID,Discount,Place,Shipping Cost,Delivery Status
2022-10-11,Central,Furniture,Chairs,961.54,7.0,,Jill Morgan,7dc9ea12,1a5188ac-2,0.2,Jacksonstad,7.18,Delivered
2024-09-16,South,Technology,Accessories,383.71,6.0,19.81,Nathan Long,6f7a2837,b916c1d4-5,0.0,East Denise,43.77,Delivered
2023-01-23,South,Office Supplies,Paper,,5.0,-0.89,Tiffany Garrett,b095d553,c22e6cb8-f,0.0,Thompsonberg,23.89,In Transit
2024-10-06,Central,Furniture,Chairs,874.46,5.0,-67.59,Dennis Brock,2bb37eb1,abe6a107-3,0.2,Millerbury,9.04,Delivered
2025-06-13,Central,Technology,Phones,722.24,5.0,-12.29,Kyle Campbell,adc0211b,ea2f8e5d-2,0.0,New Ashley,45.92,In Transit
2023-07-27,Central,Technology,Accessories,898.69,6.0,-2.99,Mrs. Lisa Gould,60fac6fd,0c6dcb78-e,0.1,West Thomas,15.77,In Transit
2025-01-22,West,Technology,Copiers,348.01,5.0,35.33,Jennifer Parker,408e74d5,eb4315a1-2,0.0,Davisfort,6.14,In Transit
2024-06-09,South,Furniture,Tables,156.82,3.0,20.16,Emily Johnson,202b5852,1b40e6f8-d,0.0,Port Stephanieland,34.97,In Transit
2025-02-12,Central,Technology,Accessories,17.26,1.0,-2.5,Jose West,b877c474,1fc96e63-0,0.0,Carolynmouth,29.37,Delivered
2024-07-18,Central,Technology,Accessories,9.63,8.0,1.58,Leslie Rodriguez,5e6a93d3,f5814f9b-8,0.0,Thomasfurt,11.46,Delivered
2023-03-26,East,Furniture,Bookcases,819.92,7.0,,Katrina Garcia,2783d048,7d562aa6-c,0.0,Sandersstad,21.13,In Transit
2022-10-11,Central,Furniture,Chairs,961.54,7.0,-188.89,Jill Morgan,7dc9ea12,1a5188ac-2,,Petersport,29.4,In Transit
2024-09-16,South,Technology,Accessories,383.71,6.0,19.81,Nathan Long,6f7a2837,b916c1d4-5,0.0,East Douglasmouth,14.19,Delivered
2023-01-23,South,Office Supplies,Paper,,5.0,-0.89,Tiffany Garrett,b095d553,c22e6cb8-f,0.1,Davistown,31.58,Delivered
2024-10-06,Central,Furniture,Chairs,874.46,5.0,-67.59,Dennis Brock,2bb37eb1,abe6a107-3,0.0,South Julieton,35.15,Delivered
2025-06-13,Central,Technology,Phones,722.24,5.0,-12.29,Kyle Campbell,adc0211b,ea2f8e5d-2,0.0,Fostermouth,36.37,Delivered
2023-07-27,Central,Technology,Accessories,898.69,6.0,-2.99,Mrs. Lisa Gould,60fac6fd,0c6dcb78-e,0.2,Donaldborough,20.77,Delivered
2025-01-22,West,Technology,Copiers,348.01,5.0,35.33,Jennifer Parker,408e74d5,eb4315a1-2,0.0,Cooperland,48.7,Delivered
2024-06-09,South,Furniture,Tables,156.82,3.0,20.16,Emily Johnson,202b5852,1b40e6f8-d,0.3,Deborahmouth,48.59,Delivered
2025-02-12,Central,Technology,Accessories,17.26,1.0,-2.5,Jose West,b877c474,1fc96e63-0,0.0,West Linda,38.92,Cancelled
2024-07-18,Central,Technology,Accessories,9.63,8.0,1.58,Leslie Rodriguez,5e6a93d3,f5814f9b-8,0.0,East Susan,20.69,Delivered
2023-03-26,East,Furniture,Bookcases,819.92,7.0,,Katrina Garcia,2783d048,7d562aa6-c,0.0,New Vanessaville,,Delivered
2024-02-02,East,Technology,Accessories,,2.0,5.53,Angela Edwards,0d919153,15c63e90-3,0.3,Johnland,7.28,Delivered
2025-02-24,Central,Technology,Machines,425.33,6.0,13.93,Jesse Shaw,5cbb4a74,84d54d88-8,0.0,East Joshuaview,36.13,Delivered
